Item	Occurences	Present In
1034	3	List A, List B, List C
1035	3	List A, List B, List C
1067	3	List A, List B, List C
1093	3	List A, List B, List C
1100	3	List A, List B, List C
1101	3	List A, List B, List C
1121	3	List A, List B, List C
1190	3	List A, List B, List C
1219	3	List A, List B, List C
1226	3	List A, List B, List C
1233	3	List A, List B, List C
1264	3	List A, List B, List C
130	3	List A, List B, List C
1471	3	List A, List B, List C
150	3	List A, List B, List C
1510	3	List A, List B, List C
1522	3	List A, List B, List C
1575	3	List A, List B, List C
1576	3	List A, List B, List C
1579	3	List A, List B, List C
1585	3	List A, List B, List C
1618	3	List A, List B, List C
1623	3	List A, List B, List C
1780	3	List A, List B, List C
182	3	List A, List B, List C
1833	3	List A, List B, List C
453	3	List A, List B, List C
526	3	List A, List B, List C
531	3	List A, List B, List C
542	3	List A, List B, List C
580	3	List A, List B, List C
912	3	List A, List B, List C
913	3	List A, List B, List C
980	3	List A, List B, List C
1	2	List B, List C
10	2	List B, List C
1032	2	List B, List C
1033	2	List B, List C
1041	2	List B, List C
1069	2	List B, List C
1092	2	List B, List C
1094	2	List B, List C
1117	2	List B, List C
1128	2	List B, List C
1130	2	List B, List C
1135	2	List B, List C
114	2	List B, List C
1140	2	List B, List C
1141	2	List B, List C
1142	2	List B, List C
1144	2	List B, List C
1145	2	List B, List C
1152	2	List B, List C
1222	2	List B, List C
1234	2	List B, List C
1279	2	List B, List C
1281	2	List B, List C
1282	2	List B, List C
1482	2	List B, List C
1587	2	List A, List B
1588	2	List B, List C
1589	2	List B, List C
1594	2	List B, List C
1600	2	List B, List C
1608	2	List A, List B
1622	2	List B, List C
1693	2	List B, List C
1723	2	List B, List C
1734	2	List A, List B
1828	2	List B, List C
1829	2	List B, List C
183	2	List A, List C
1830	2	List B, List C
1831	2	List A, List B
1832	2	List B, List C
1845	2	List B, List C
1846	2	List B, List C
1847	2	List B, List C
1848	2	List B, List C
1849	2	List B, List C
185	2	List A, List C
1850	2	List B, List C
1852	2	List B, List C
1853	2	List B, List C
1858	2	List B, List C
1863	2	List B, List C
1869	2	List B, List C
1872	2	List B, List C
1873	2	List B, List C
2	2	List B, List C
249	2	List B, List C
252	2	List B, List C
254	2	List B, List C
301	2	List B, List C
407	2	List B, List C
449	2	List A, List C
46	2	List B, List C
501	2	List B, List C
503	2	List B, List C
516	2	List B, List C
518	2	List B, List C
547	2	List B, List C
566	2	List A, List B
57	2	List B, List C
573	2	List B, List C
592	2	List A, List C
655	2	List B, List C
8	2	List B, List C
88	2	List B, List C
910	2	List B, List C
