"size","decay","pred","obs","rowIndex","Resample"
16,0.1,"1","0",910,"Fold04.Rep1"
16,0.1,"1","0",16,"Fold04.Rep2"
16,0.1,"1","0",6,"Fold10.Rep1"
16,0.1,"1","0",522,"Fold01.Rep1"
16,0.1,"1","0",526,"Fold03.Rep1"
16,0.1,"1","0",57,"Fold05.Rep1"
16,0.1,"0","1",1219,"Fold03.Rep2"
16,0.1,"0","1",1233,"Fold03.Rep2"
16,0.1,"1","0",570,"Fold02.Rep2"
16,0.1,"1","0",445,"Fold01.Rep1"
16,0.1,"1","0",526,"Fold02.Rep2"
16,0.1,"0","1",1190,"Fold03.Rep2"
16,0.1,"1","0",547,"Fold01.Rep1"
16,0.1,"1","0",592,"Fold01.Rep2"
16,0.1,"1","0",566,"Fold03.Rep1"
16,0.1,"1","0",114,"Fold03.Rep2"
16,0.1,"0","1",1033,"Fold01.Rep2"
16,0.1,"1","0",655,"Fold03.Rep2"
16,0.1,"1","0",115,"Fold09.Rep4"
16,0.1,"1","0",518,"Fold02.Rep1"
16,0.1,"0","1",1831,"Fold05.Rep5"
16,0.1,"0","1",1093,"Fold04.Rep1"
16,0.1,"0","1",1264,"Fold04.Rep1"
16,0.1,"1","0",580,"Fold06.Rep1"
16,0.1,"0","1",1226,"Fold06.Rep1"
16,0.1,"0","1",1471,"Fold06.Rep1"
16,0.1,"1","0",592,"Fold08.Rep1"
16,0.1,"1","0",114,"Fold10.Rep1"
16,0.1,"1","0",182,"Fold10.Rep1"
16,0.1,"1","0",531,"Fold10.Rep1"
16,0.1,"1","0",57,"Fold02.Rep2"
16,0.1,"0","1",1035,"Fold10.Rep1"
16,0.1,"1","0",16,"Fold01.Rep1"
16,0.1,"0","1",1522,"Fold10.Rep1"
16,0.1,"0","1",1693,"Fold10.Rep1"
16,0.1,"0","1",1093,"Fold04.Rep2"
16,0.1,"1","0",136,"Fold05.Rep1"
16,0.1,"1","0",453,"Fold05.Rep1"
16,0.1,"1","0",655,"Fold05.Rep1"
16,0.1,"0","1",1100,"Fold05.Rep1"
16,0.1,"0","1",1101,"Fold05.Rep1"
16,0.1,"0","1",1130,"Fold05.Rep1"
16,0.1,"1","0",570,"Fold09.Rep1"
16,0.1,"1","0",150,"Fold01.Rep2"
16,0.1,"1","0",179,"Fold01.Rep2"
16,0.1,"1","0",183,"Fold01.Rep2"
16,0.1,"0","1",1100,"Fold01.Rep2"
16,0.1,"0","1",1510,"Fold01.Rep2"
16,0.1,"0","1",1576,"Fold01.Rep2"
16,0.1,"0","1",1522,"Fold09.Rep4"
16,0.1,"0","1",1576,"Fold04.Rep1"
16,0.1,"0","1",1618,"Fold04.Rep1"
16,0.1,"0","1",1833,"Fold08.Rep3"
16,0.1,"0","1",1873,"Fold08.Rep3"
16,0.1,"1","0",130,"Fold08.Rep1"
16,0.1,"1","0",183,"Fold05.Rep5"
16,0.1,"1","0",453,"Fold05.Rep5"
16,0.1,"1","0",6,"Fold03.Rep3"
16,0.1,"0","1",1219,"Fold05.Rep5"
16,0.1,"0","1",1264,"Fold05.Rep5"
16,0.1,"1","0",130,"Fold02.Rep2"
16,0.1,"1","0",170,"Fold01.Rep1"
16,0.1,"0","1",1833,"Fold04.Rep4"
16,0.1,"1","0",100,"Fold03.Rep1"
16,0.1,"1","0",116,"Fold03.Rep1"
16,0.1,"1","0",15,"Fold10.Rep4"
16,0.1,"1","0",100,"Fold10.Rep4"
16,0.1,"1","0",453,"Fold10.Rep4"
16,0.1,"0","1",1831,"Fold05.Rep1"
16,0.1,"0","1",1219,"Fold09.Rep1"
16,0.1,"0","1",1233,"Fold09.Rep1"
16,0.1,"1","0",910,"Fold05.Rep4"
16,0.1,"1","0",170,"Fold03.Rep2"
16,0.1,"1","0",150,"Fold02.Rep1"
16,0.1,"1","0",183,"Fold02.Rep1"
16,0.1,"0","1",1771,"Fold05.Rep4"
16,0.1,"0","1",1831,"Fold05.Rep4"
16,0.1,"1","0",185,"Fold09.Rep4"
16,0.1,"1","0",530,"Fold09.Rep4"
16,0.1,"1","0",531,"Fold09.Rep4"
16,0.1,"1","0",100,"Fold01.Rep5"
16,0.1,"0","1",1233,"Fold01.Rep5"
16,0.1,"0","1",1734,"Fold01.Rep5"
16,0.1,"0","1",1575,"Fold06.Rep1"
16,0.1,"0","1",1608,"Fold06.Rep1"
16,0.1,"1","0",518,"Fold05.Rep5"
16,0.1,"1","0",580,"Fold05.Rep5"
16,0.1,"1","0",116,"Fold07.Rep5"
16,0.1,"1","0",526,"Fold07.Rep5"
16,0.1,"0","1",1585,"Fold05.Rep5"
16,0.1,"0","1",1587,"Fold05.Rep5"
16,0.1,"0","1",1618,"Fold05.Rep5"
16,0.1,"0","1",1621,"Fold05.Rep5"
16,0.1,"0","1",1575,"Fold02.Rep2"
16,0.1,"0","1",1579,"Fold02.Rep2"
16,0.1,"0","1",1608,"Fold02.Rep2"
16,0.1,"0","1",1780,"Fold02.Rep2"
16,0.1,"0","1",1833,"Fold02.Rep2"
16,0.1,"0","1",1873,"Fold02.Rep2"
16,0.1,"1","0",100,"Fold06.Rep2"
16,0.1,"1","0",518,"Fold06.Rep2"
16,0.1,"1","0",531,"Fold06.Rep2"
16,0.1,"1","0",580,"Fold06.Rep2"
16,0.1,"1","0",6,"Fold08.Rep2"
16,0.1,"1","0",15,"Fold08.Rep2"
16,0.1,"0","1",1226,"Fold06.Rep2"
16,0.1,"0","1",1264,"Fold06.Rep2"
16,0.1,"0","1",1618,"Fold06.Rep2"
16,0.1,"0","1",1693,"Fold06.Rep2"
16,0.1,"1","0",149,"Fold02.Rep3"
16,0.1,"1","0",592,"Fold02.Rep3"
16,0.1,"1","0",913,"Fold02.Rep3"
16,0.1,"0","1",1471,"Fold02.Rep3"
16,0.1,"0","1",1576,"Fold02.Rep3"
16,0.1,"0","1",1587,"Fold02.Rep3"
16,0.1,"0","1",1697,"Fold02.Rep3"
16,0.1,"0","1",1734,"Fold02.Rep3"
16,0.1,"0","1",1771,"Fold02.Rep3"
16,0.1,"0","1",1773,"Fold02.Rep3"
16,0.1,"0","1",1780,"Fold02.Rep3"
16,0.1,"0","1",1789,"Fold04.Rep3"
16,0.1,"1","0",15,"Fold08.Rep3"
16,0.1,"1","0",566,"Fold08.Rep3"
16,0.1,"0","1",1575,"Fold08.Rep3"
16,0.1,"0","1",1608,"Fold08.Rep3"
16,0.1,"0","1",1190,"Fold10.Rep3"
16,0.1,"0","1",1233,"Fold10.Rep3"
16,0.1,"1","0",526,"Fold04.Rep4"
16,0.1,"0","1",1117,"Fold04.Rep4"
16,0.1,"0","1",1471,"Fold04.Rep4"
16,0.1,"0","1",980,"Fold06.Rep4"
16,0.1,"0","1",1035,"Fold06.Rep4"
16,0.1,"0","1",1575,"Fold06.Rep4"
16,0.1,"0","1",1579,"Fold06.Rep4"
16,0.1,"1","0",592,"Fold10.Rep4"
16,0.1,"0","1",1510,"Fold10.Rep4"
16,0.1,"0","1",1587,"Fold10.Rep4"
16,0.1,"0","1",1471,"Fold02.Rep5"
16,0.1,"0","1",1510,"Fold02.Rep5"
16,0.1,"0","1",1789,"Fold02.Rep5"
16,0.1,"0","1",1579,"Fold07.Rep1"
16,0.1,"0","1",1587,"Fold07.Rep1"
16,0.1,"0","1",1697,"Fold07.Rep1"
16,0.1,"0","1",1773,"Fold07.Rep1"
16,0.1,"0","1",1780,"Fold07.Rep1"
16,0.1,"1","0",150,"Fold08.Rep5"
16,0.1,"0","1",1034,"Fold08.Rep5"
16,0.1,"0","1",1579,"Fold08.Rep5"
16,0.1,"0","1",1594,"Fold08.Rep5"
16,0.1,"0","1",1734,"Fold03.Rep2"
16,0.1,"0","1",1300,"Fold07.Rep2"
16,0.1,"0","1",1471,"Fold07.Rep2"
16,0.1,"0","1",1101,"Fold09.Rep2"
16,0.1,"1","0",46,"Fold03.Rep3"
16,0.1,"1","0",136,"Fold03.Rep3"
16,0.1,"1","0",182,"Fold03.Rep3"
16,0.1,"1","0",183,"Fold03.Rep3"
16,0.1,"1","0",518,"Fold03.Rep3"
16,0.1,"0","1",1094,"Fold03.Rep3"
16,0.1,"0","1",1579,"Fold03.Rep3"
16,0.1,"0","1",1621,"Fold03.Rep3"
16,0.1,"0","1",1693,"Fold03.Rep3"
